"","SRR5116489.means","SRR5116490.means","SRR5116491.means","SRR5116492.means","SRR5116493.means","SRR5116494.means","SRR5116495.means","SRR5116496.means"
"hsa-let-7a-2-3p",3,0,0,8,2,4,11,2
"hsa-let-7a-3p",11,28,21,101.5,34,33,59,75
"hsa-let-7a-5p",9553,9604,13521,40803.6666666667,18010.6666666667,22281.3333333333,32238,16252
"hsa-let-7b-3p",21,33,13,85,23,45,45,21
"hsa-let-7b-5p",1516,1774,2632,13181,3046,5137,8748,6439
"hsa-let-7c-3p",1,0,0,2,0,0,0,3
"hsa-let-7c-5p",140,131,290,768,240,324,565,488
"hsa-let-7d-3p",64,174,31,316,106,220,176,27
"hsa-let-7d-5p",832,687,944,3089,1504,1596,2935,1478
"hsa-let-7e-3p",10,19,14,46,11,13,31,12
"hsa-let-7e-5p",692,1039,821,4161,1305,2560,3129,1552
"hsa-let-7f-1-3p",8,13,15,46,16,16,31,18
"hsa-let-7f-2-3p",9,6,11,24,21,7,17,20
"hsa-let-7f-5p",10045,11773.5,13272.5,48008.5,25007,33574,37243.5,26036
"hsa-let-7g-3p",4,2,5,10,4,2,8,5
"hsa-let-7g-5p",957,750,1586,4077,2143,1792,3436,2361
"hsa-let-7i-3p",6,8,7,13,17,2,14,7
"hsa-let-7i-5p",3113,2876,3867,21754,8730,9641,13871,11946
"hsa-miR-1-3p",0,0,0,0,0,0,0,0
"hsa-miR-1-5p",0,0,0,0,0,0,0,0
"hsa-miR-100-3p",19,23,33,168,117,162,209,260
"hsa-miR-100-5p",3071,4080,5324,20735,8646,10943,14119,14718
"hsa-miR-101-2-5p",0,0,1,0,2,0,0,0
"hsa-miR-101-3p",262,182,362,537.5,592,236,534,402
"hsa-miR-101-5p",0,0,2,2,1,0,4,2
"hsa-miR-10226",0,0,0,0,0,0,0,0
"hsa-miR-10392-3p",0,0,0,0,0,0,0,0
"hsa-miR-10392-5p",0,0,0,0,0,0,0,0
"hsa-miR-10393-3p",0,0,0,0,0,0,0,0
"hsa-miR-10393-5p",0,0,0,0,0,0,0,0
"hsa-miR-10394-3p",0,0,0,0,0,0,0,0
"hsa-miR-10394-5p",0,0,0,0,0,0,0,0
"hsa-miR-10395-3p",2,1,0,0,1,0,0,0
"hsa-miR-10395-5p",0,0,0,0,0,0,0,0
"hsa-miR-10396a-3p",0,0,0,0,0,0,0,0
"hsa-miR-10396a-5p",0,0,1,0.5,0,0,0,0
"hsa-miR-10396b-3p",3,0,0,2,3,2,0,1
"hsa-miR-10396b-5p",0,0,1,1,0,0,0,0
"hsa-miR-10397-3p",0,0,0,0,0,0,0,0
"hsa-miR-10397-5p",0,0,0,0,0,0,0,0
"hsa-miR-10398-3p",0,0,0,0,0,0,0,0
"hsa-miR-10398-5p",0,0,0,0,0,0,0,0
"hsa-miR-10399-3p",8,2,2,13,8,14,15,10
"hsa-miR-10399-5p",2,0,8,10,8,5,6,11
"hsa-miR-103a-1-5p",0,0,0,0,0,0,0,0
"hsa-miR-103a-2-5p",0,1,0,2,1,1,0,1
"hsa-miR-103a-3p",1961.5,1421.5,2654.5,5168.5,3055.5,2405,4996,2615.5
"hsa-miR-103b",0,0,0,0,0,0,0,0
"hsa-miR-10400-3p",0,0,0,0,0,0,0,0
"hsa-miR-10400-5p",0,0,0,0,0,0,0,0
"hsa-miR-10401-3p",12,8,11,28,6,2,9,6
"hsa-miR-10401-5p",0,0,0,0,0,0,0,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0
"hsa-miR-105-5p",0,0,0,0,0,0,0,0
"hsa-miR-10522-5p",0,0,0,0,0,0,0,0
"hsa-miR-10523-5p",0,0,0,4,2,0,1,4
"hsa-miR-10524-5p",0,0,0,0,0,0,0,0
"hsa-miR-10525-3p",0,0,0,0,0,0,0,0
"hsa-miR-10526-3p",0,0,0,0,0,0,0,0
"hsa-miR-10527-5p",0,4,1,3,0,3,2,5
"hsa-miR-106a-3p",0,0,0,0,0,0,0,1
"hsa-miR-106a-5p",1,0,8,34,2,4,8,25
"hsa-miR-106b-3p",109,77,138,440,303,283,426,258
"hsa-miR-106b-5p",69,44,120,296,257,167,374,253
"hsa-miR-107",346,190,368,702,514,402,780,364
"hsa-miR-10a-3p",1,1,0,5,0,0,0,1
"hsa-miR-10a-5p",71,235,159,2382,218,386,530,2064
"hsa-miR-10b-3p",0,1,2,5,1,3,2,2
"hsa-miR-10b-5p",1455,1448,4049,7603,3411,2494,4372,6228
"hsa-miR-11181-3p",0,0,0,0,0,0,0,0
"hsa-miR-11181-5p",0,0,0,0,0,0,0,0
"hsa-miR-11399",0,0,0,0,0,0,0,1
"hsa-miR-11400",0,0,0,0,0,0,0,0
"hsa-miR-11401",0,0,0,0,0,0,0,0
"hsa-miR-1178-3p",0,0,0,0,0,0,0,0
"hsa-miR-1178-5p",0,0,0,0,0,0,0,0
"hsa-miR-1179",0,0,0,0,0,0,0,0
"hsa-miR-1180-3p",16,15,10,111,15,59,76,50
"hsa-miR-1180-5p",0,1,1,2,0,0,0,1
"hsa-miR-1181",0,0,0,0,0,0,0,0
"hsa-miR-1182",0,0,0,0,0,0,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0
"hsa-miR-1184",0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",0,6,0,8,2,7,2,5
"hsa-miR-1185-2-3p",0,1,0,0,0,0,2,0
"hsa-miR-1185-5p",0,0,0,3,0,1,0,2
"hsa-miR-1193",0,0,0,0,0,0,0,0
"hsa-miR-1197",0,0,1,3,0,0,0,0
"hsa-miR-1199-3p",0,0,0,0,0,0,0,0
"hsa-miR-1199-5p",0,0,0,0,0,0,0,0
"hsa-miR-1200",0,0,0,0,0,0,0,0
"hsa-miR-1202",0,0,0,0,0,0,0,0
"hsa-miR-1203",0,0,0,0,0,0,0,0
"hsa-miR-1204",0,0,0,0,0,0,0,0
"hsa-miR-1205",0,0,0,0,0,0,0,0
"hsa-miR-1206",0,0,0,0,0,0,0,0
"hsa-miR-1207-3p",0,0,0,0,0,0,0,0
"hsa-miR-1207-5p",0,0,0,0,0,0,0,0
"hsa-miR-1208",0,0,0,0,0,0,0,0
"hsa-miR-12113",0,0,0,0,0,0,0,0
"hsa-miR-12114",0,0,0,0,0,0,0,0
"hsa-miR-12115",0,0,0,0,0,0,0,0
"hsa-miR-12116",0,0,0,0,0,0,0,0
"hsa-miR-12117",0,0,0,0,0,0,0,0
"hsa-miR-12118",0,0,0,0,0,0,0,0
"hsa-miR-12119",0,0,0,0,0,0,0,0
"hsa-miR-12120",0,0,0,0,0,0,0,0
"hsa-miR-12121",0,0,0,0,0,0,0,0
"hsa-miR-12122",0,0,0,0,0,0,0,0
"hsa-miR-12123",0,0,0,0,0,0,0,0
"hsa-miR-12124",0,0,0,0,0,0,0,0
"hsa-miR-12125",0,0,0,0,0,0,0,0
"hsa-miR-12126",0,0,0,0,0,0,0,0
"hsa-miR-12127",0,0,0,0,0,0,0,0
"hsa-miR-12128",0,0,0,0,0,0,0,0
"hsa-miR-12129",0,0,0,0,0,0,0,0
"hsa-miR-12130",0,0,0,0,0,0,0,0
"hsa-miR-12131",0,0,0,0,0,0,0,0
"hsa-miR-12132",0,0,0,0,0,0,0,1
"hsa-miR-12133",0,0,0,0,0,0,0,0
"hsa-miR-12135",0,0,0,0,0,0,0,0
"hsa-miR-12136",0,2,2,1,3,1,1,0
"hsa-miR-122-3p",0,0,0,0,0,0,0,0
"hsa-miR-122-5p",0,1,0,0,0,0,0,0
"hsa-miR-1224-3p",0,0,0,0,0,0,0,0
"hsa-miR-1224-5p",0,0,0,0,0,0,0,0
"hsa-miR-1225-3p",0,0,0,0,0,0,0,0
"hsa-miR-1225-5p",0,0,0,0,0,0,0,0
"hsa-miR-1226-3p",0,0,0,0,1,0,0,0
"hsa-miR-1226-5p",0,1,0,1,0,3,1,0
"hsa-miR-1227-3p",0,0,0,0,0,0,1,2
"hsa-miR-1227-5p",0,0,0,0,0,0,0,0
"hsa-miR-1228-3p",1,2,1,2,1,0,2,0
"hsa-miR-1228-5p",0,0,0,1,0,1,0,0
"hsa-miR-1229-3p",2,0,1,0,0,0,1,0
"hsa-miR-1229-5p",0,0,0,0,0,0,0,0
"hsa-miR-122b-3p",0,0,0,0,0,0,0,0
"hsa-miR-122b-5p",0,0,0,0,0,0,0,0
"hsa-miR-1231",0,0,0,0,0,0,0,0
"hsa-miR-1233-3p",0,0,0,0,0,0,0,0
"hsa-miR-1233-5p",0,0,0,0,0,0,0,0
"hsa-miR-1234-3p",0,1,1,0,0,0,0,0
"hsa-miR-1236-3p",0,0,0,0,0,0,0,0
"hsa-miR-1236-5p",0,0,0,0,0,0,0,0
"hsa-miR-1237-3p",0,0,0,0,0,0,0,0
"hsa-miR-1237-5p",0,0,0,1,0,0,0,0
"hsa-miR-1238-3p",0,0,0,0,0,0,0,0
"hsa-miR-1238-5p",0,0,0,0,0,0,0,0
"hsa-miR-124-3p",0,0,0,0,0,0,0,0
"hsa-miR-124-5p",0,0,0,0,0,0,0,0
"hsa-miR-1243",0,0,0,0,0,0,1,1
"hsa-miR-1244",0,0,0,0,0,0,0,0
"hsa-miR-1245a",0,0,0,0,0,0,0,0
"hsa-miR-1245b-3p",0,0,0,0,0,0,0,0
"hsa-miR-1245b-5p",0,0,0,0,0,0,0,0
"hsa-miR-1246",1,0,0,1,1,1,1,1
"hsa-miR-1247-3p",0,0,0,0,0,0,0,0
"hsa-miR-1247-5p",0,0,0,0,0,0,0,0
"hsa-miR-1248",3,4,1,9,2,3,6,5
"hsa-miR-1249-3p",9,22,9,14,10,8,11,1
"hsa-miR-1249-5p",0,0,0,0,0,2,1,0
"hsa-miR-1250-3p",0,0,0,0,0,0,0,0
"hsa-miR-1250-5p",0,0,0,0,0,0,0,0
"hsa-miR-1251-3p",0,0,0,0,0,0,0,0
"hsa-miR-1251-5p",0,0,0,0,0,0,0,0
"hsa-miR-1252-3p",0,0,0,0,0,0,0,0
"hsa-miR-1252-5p",0,0,0,1,0,0,0,0
"hsa-miR-1253",0,0,0,0,0,0,0,0
"hsa-miR-1255a",4,1,5,9,9,7,11,9
"hsa-miR-1255b-2-3p",0,0,0,0,0,0,0,0
"hsa-miR-1255b-5p",0,0,0,1,0,0,0,1
"hsa-miR-1256",0,0,0,1,1,0,1,0
"hsa-miR-1257",0,0,0,1,0,0,1,0
"hsa-miR-1258",0,0,0,0,0,0,0,0
"hsa-miR-125a-3p",11,25,10,98,28,56,81,57
"hsa-miR-125a-5p",1471,2377,2571,9835,3063,3780,7294,6227
"hsa-miR-125b-1-3p",267,273,431,2003,470,830,1517,1587
"hsa-miR-125b-2-3p",25,20,39,98,37,49,66,72
"hsa-miR-125b-5p",788,1094.5,1289,5434,1441,1937,3585,3198.5
"hsa-miR-126-3p",16,25,33,74,53,36,73,46
"hsa-miR-126-5p",76,62,105,306,180,140,240,254
"hsa-miR-1260a",10,8,10,7,4,3,2,2
"hsa-miR-1260b",4,2,2,2,3,3,3,0
"hsa-miR-1261",0,0,0,0,0,0,0,0
"hsa-miR-1262",1,2,2,15,4,8,9,6
"hsa-miR-1263",0,0,0,0,0,0,0,0
"hsa-miR-1264",0,0,0,0,0,0,0,0
"hsa-miR-1265",0,0,0,0,0,0,0,0
"hsa-miR-1266-3p",0,0,0,0,0,0,0,0
"hsa-miR-1266-5p",0,1,2,0,2,2,2,1
"hsa-miR-1267",0,0,0,0,0,0,0,0
"hsa-miR-1268a",0,0,0.5,0,0,0.5,0,0
"hsa-miR-1268b",0,0,1,0,0,1,0,0
"hsa-miR-1269a",0,0,0,0,0,0,0,0
"hsa-miR-1269b",0,0,0,0,0,0,0,0
"hsa-miR-127-3p",39,702,31,1274,64,602,207,671
"hsa-miR-127-5p",0,3,0,0,1,2,2,2
"hsa-miR-1270",3,1,2,15,6,10,17,13
"hsa-miR-1271-3p",0,0,2,1,0,0,1,0
"hsa-miR-1271-5p",4,9,32,115,10,19,36,72
"hsa-miR-1272",0,0,0,0,0,0,0,0
"hsa-miR-1273c",0,0,0,1,0,0,1,1
"hsa-miR-1273h-3p",0,0,0,0,0,0,0,0
"hsa-miR-1273h-5p",0,0,0,0,0,0,1,0
"hsa-miR-1275",0,0,0,0,0,0,0,0
"hsa-miR-1276",2,2,3,9,3,1,7,5
"hsa-miR-1277-3p",0,0,0,1,0,0,2,1
"hsa-miR-1277-5p",4,6,6,10,12,3,6,7
"hsa-miR-1278",0,0,1,0,0,1,0,0
"hsa-miR-1279",0,0,0,0,0,0,0,0
"hsa-miR-128-1-5p",4,5,7,56,14,42,58,37
"hsa-miR-128-2-5p",0,0,0,0,0,0,0,0
"hsa-miR-128-3p",225.5,259,259.5,1363.5,448.5,653.5,982,471
"hsa-miR-1281",0,0,0,0,0,0,0,0
"hsa-miR-1282",0,0,0,0,0,0,0,0
"hsa-miR-1283",0,0,0,0,0,0,0,0
"hsa-miR-1284",0,0,0,0,0,0,1,1
"hsa-miR-1285-3p",12.5,12,25,93.5,30.5,37,75.5,61
"hsa-miR-1285-5p",1,2,1,10,0,2,5,4
"hsa-miR-1286",1,0,0,6,5,0,4,3
"hsa-miR-1287-3p",0,0,0,0,0,0,0,0
"hsa-miR-1287-5p",1,3,3,16,3,4,11,5
"hsa-miR-1288-3p",0,0,0,0,0,0,0,0
"hsa-miR-1288-5p",0,0,0,0,0,0,0,0
"hsa-miR-1289",0,0,0,1,0,0,0,0
"hsa-miR-129-1-3p",0,0,1,0,2,0,2,0
"hsa-miR-129-2-3p",0,0,0,2,2,2,0,0
"hsa-miR-129-5p",1,0,0,5,6,7,6,7
"hsa-miR-1290",0,0,0,0,0,0,0,0
"hsa-miR-1291",1,1,0,2,1,0,0,1
"hsa-miR-1292-3p",0,1,0,0,0,1,0,0
"hsa-miR-1292-5p",1,0,2,6,1,0,2,0
"hsa-miR-1293",8,17,7,53,11,36,32,20
"hsa-miR-1294",0,0,1,0,0,0,0,2
"hsa-miR-1295a",0,0,0,0,0,0,0,1
"hsa-miR-1295b-3p",0,0,0,0,0,0,0,0
"hsa-miR-1295b-5p",0,0,0,0,0,0,0,0
"hsa-miR-1296-3p",0,0,1,1,0,0,1,1
"hsa-miR-1296-5p",15,15,17,96,20,29,59,36
"hsa-miR-1297",0,0,0,0,0,0,0,0
"hsa-miR-1298-3p",0,0,0,0,0,0,0,0
"hsa-miR-1298-5p",0,0,1,0,0,0,1,0
"hsa-miR-1299",0,8,1,42,0,29,0,29
"hsa-miR-1301-3p",6,7,5,60,14,29,53,26
"hsa-miR-1301-5p",0,0,0,0,0,0,0,0
"hsa-miR-1302",0,0,0,1,0,0,0,0
"hsa-miR-1303",1,2,2,15,2,3,12,9
"hsa-miR-1304-3p",22,28,55,263,61,77,184,127
"hsa-miR-1304-5p",0,0,1,2,0,0,4,1
"hsa-miR-1305",2,1,2,6,5,4,9,10
"hsa-miR-1306-3p",0,0,0,3,0,2,3,4
"hsa-miR-1306-5p",0,2,1,1,0,2,2,1
"hsa-miR-1307-3p",161,159,157,407,195,221,438,158
"hsa-miR-1307-5p",123,55,177,164,308,67,235,233
"hsa-miR-130a-3p",1063,1137,1887,5070,2077,1826,4456,2643
"hsa-miR-130a-5p",2,0,2,8,0,4,4,1
"hsa-miR-130b-3p",163,181,265,1416,453,677,1075,757
"hsa-miR-130b-5p",52,64,82,464,149,208,436,343
"hsa-miR-132-3p",133,63,293,136,137,53,249,67
"hsa-miR-132-5p",6,6,29,21,14,8,60,20
"hsa-miR-1321",0,0,0,0,0,0,0,0
"hsa-miR-1322",0,0,0,0,0,0,1,0
"hsa-miR-1323",0,0,0,0,0,0,0,0
"hsa-miR-1324",0,0,0,0,0,0,0,0
"hsa-miR-133a-3p",0,0,0,0,0,0,0,1
"hsa-miR-133a-5p",0,0,0,0,0,0,0,0
"hsa-miR-133b",0,0,0,0,0,0,0,0
"hsa-miR-134-3p",0,0,0,1,1,0,0,0
"hsa-miR-134-5p",1,4,0,15,2,10,0,4
"hsa-miR-1343-3p",0,0,0,1,0,1,0,3
"hsa-miR-1343-5p",0,0,0,1,0,0,0,0
"hsa-miR-135a-2-3p",0,0,0,0,0,0,0,0
"hsa-miR-135a-3p",0,0,0,0,0,0,1,0
"hsa-miR-135a-5p",0,0,0,0,0,0,0,0
"hsa-miR-135b-3p",15,13,9,36,19,13,25,24
"hsa-miR-135b-5p",27,33,70,195,85,57,158,139
"hsa-miR-136-3p",4,44,3,53,4,22,13,37
"hsa-miR-136-5p",0,1,0,0,1,1,0,3
"hsa-miR-137-3p",1,0,0,0,0,2,2,5
"hsa-miR-137-5p",0,0,0,0,0,0,1,0
"hsa-miR-138-1-3p",76,173,66,783,145,409,568,481
"hsa-miR-138-2-3p",0,0,0,0,0,0,0,0
"hsa-miR-138-5p",1136,1672.5,1188.5,5666,1797.5,2583,4323.5,2066
"hsa-miR-139-3p",0,0,0,0,0,0,0,0
"hsa-miR-139-5p",0,0,0,1,0,0,0,0
"hsa-miR-140-3p",78,68,75,363,107,123,177,147
"hsa-miR-140-5p",0,3,4,9,3,2,12,4
"hsa-miR-141-3p",1689,1361,3052,4923,4730,2359,4941,4560
"hsa-miR-141-5p",129,100,246,512,321,243,477,590
"hsa-miR-142-3p",0,0,0,1,0,0,0,1
"hsa-miR-142-5p",1,0,3,6,3,0,11,4
"hsa-miR-143-3p",2,4,3,5,9,12,2,4
"hsa-miR-143-5p",0,0,0,0,0,0,0,0
"hsa-miR-144-3p",0,0,0,0,0,0,0,0
"hsa-miR-144-5p",0,0,0,0,1,0,0,0
"hsa-miR-145-3p",0,0,0,0,0,0,0,0
"hsa-miR-145-5p",0,0,0,0,0,0,0,0
"hsa-miR-1468-3p",0,0,0,0,0,0,0,0
"hsa-miR-1468-5p",2,0,2,11,4,4,9,7
"hsa-miR-1469",0,0,0,0,0,0,0,0
"hsa-miR-146a-3p",0,0,0,11,0,0,0,5
"hsa-miR-146a-5p",0,59,0,387,0,5,0,387
"hsa-miR-146b-3p",2,0,4,5,1,2,1,6
"hsa-miR-146b-5p",7,32,26,92,61,120,159,166
"hsa-miR-1470",0,0,0,0,0,0,0,0
"hsa-miR-1471",0,0,0,0,0,0,0,0
"hsa-miR-147a",0,0,0,0,0,0,0,0
"hsa-miR-147b-3p",1,2,0,3,1,0,2,1
"hsa-miR-147b-5p",0,0,1,0,0,0,0,0
"hsa-miR-148a-3p",3302,2641,4827,15484,5795,5607,8954,9844
"hsa-miR-148a-5p",60,47,74,260,102,99,227,354
"hsa-miR-148b-3p",205,187,338,1169,431,371,899,1080
"hsa-miR-148b-5p",36,26,63,128,73,74,167,127
"hsa-miR-149-3p",0,0,0,1,0,0,0,0
"hsa-miR-149-5p",359,285,392,758,678,514,878,362
"hsa-miR-150-3p",0,0,0,0,0,0,0,0
"hsa-miR-150-5p",0,0,0,2,0,2,4,1
"hsa-miR-151a-3p",1301,1603,1984,8570,2729,4167,5468,4971
"hsa-miR-151a-5p",1620,1616,2654,9329,3623,3568,8253,6212
"hsa-miR-151b",824,811.5,1348.5,4701.5,1848.5,1812.5,4185,3141.5
"hsa-miR-152-3p",19,51,65,163,68,62,116,81
"hsa-miR-152-5p",3,5,9,31,6,13,32,32
"hsa-miR-153-3p",0,0,1,1,0,0,1,0
"hsa-miR-153-5p",0,0,0,0,0,0,0,0
"hsa-miR-1537-3p",0,0,0,0,0,0,0,2
"hsa-miR-1537-5p",0,0,0,0,0,0,0,0
"hsa-miR-1538",0,1,0,0,0,0,0,1
"hsa-miR-1539",0,0,0,0,0,0,0,0
"hsa-miR-154-3p",0,0,0,0,1,0,1,0
"hsa-miR-154-5p",0,1,0,3,0,0,1,1
"hsa-miR-155-3p",1,0,0,1,0,0,0,1
"hsa-miR-155-5p",47,98,254,1760,207,459,1379,898
"hsa-miR-1587",0,0,0,0,0,0,0,0
"hsa-miR-15a-3p",0,0,0,0,0,0,2,0
"hsa-miR-15a-5p",70,40,106,276,230,111,288,212
"hsa-miR-15b-3p",0,1,3,10,5,4,9,13
"hsa-miR-15b-5p",33,41,143,335,206,140,367,352
"hsa-miR-16-1-3p",0,0,1,2,0,0,1,0
"hsa-miR-16-2-3p",52,28,73,175,120,77,162,163
"hsa-miR-16-5p",1319,2234,3377,16858.5,5706,9218.5,13159.5,10618.5
"hsa-miR-17-3p",49,36,114,226,150,77,187,158
"hsa-miR-17-5p",256,390,411,1475,560,661,1154,745
"hsa-miR-181a-2-3p",288,251,431,1517,514,540,973,800
"hsa-miR-181a-3p",227,186,272,1010,338,353,726,595
"hsa-miR-181a-5p",12443,8665,16999,22757.5,18732,12809.5,22997.5,12719
"hsa-miR-181b-2-3p",2,1,0,6,2,1,2,2
"hsa-miR-181b-3p",1,0,0,14,6,7,7,9
"hsa-miR-181b-5p",1607.5,1785.5,2021,8693.5,2863,4127.5,6653.5,4227
"hsa-miR-181c-3p",26,29,28,104,48,60,134,91
"hsa-miR-181c-5p",128,84,170,323,212,140,357,224
"hsa-miR-181d-3p",0,0,0,0,0,0,1,0
"hsa-miR-181d-5p",19,35,25,229,32,107,149,104
"hsa-miR-182-3p",3,0,1,6,2,2,1,7
"hsa-miR-182-5p",9155,8059,13804,34917,16084,18186,28005,21249
"hsa-miR-1825",0,0,0,0,0,0,0,0
"hsa-miR-1827",0,0,0,0,0,0,0,0
"hsa-miR-183-3p",23,23,39,74,35,43,69,51
"hsa-miR-183-5p",1398,1240,3545,5799,3236,2306,5867,3642
"hsa-miR-184",0,0,0,0,0,0,1,0
"hsa-miR-1843",3,5,1,21,9,16,16,7
"hsa-miR-185-3p",3,3,2,18,7,3,15,7
"hsa-miR-185-5p",1,0,1,7,2,3,5,5
"hsa-miR-186-3p",0,0,1,1,2,0,1,1
"hsa-miR-186-5p",785,1075,1734,4833,2696,2013,3489,2634
"hsa-miR-187-3p",1,6,0,3,3,1,5,2
"hsa-miR-187-5p",0,0,0,0,0,0,0,0
"hsa-miR-188-3p",0,0,0,0,1,1,0,3
"hsa-miR-188-5p",15,8,18,13,32,16,31,10
"hsa-miR-18a-3p",37,48,77,208,77,108,169,95
"hsa-miR-18a-5p",37,25,62,166,61,54,142,110
"hsa-miR-18b-3p",0,0,0,2,0,0,1,0
"hsa-miR-18b-5p",0,0,1,7,0,0,4,3
"hsa-miR-1908-3p",0,1,0,3,0,1,1,0
"hsa-miR-1908-5p",0,0,0,1,1,0,2,0
"hsa-miR-1909-3p",0,0,0,0,1,0,0,0
"hsa-miR-1909-5p",0,0,0,1,1,0,0,0
"hsa-miR-190a-3p",0,0,0,1,0,1,0,0
"hsa-miR-190a-5p",1,0,7,15,3,5,10,8
"hsa-miR-190b-3p",0,0,0,0,0,0,0,0
"hsa-miR-190b-5p",0,0,0,1,1,0,1,1
"hsa-miR-191-3p",7,7,16,80,23,46,92,44
"hsa-miR-191-5p",5236,9053,9779,38839,12355,18581,28346,27285
"hsa-miR-1910-3p",1,0,2,14,2,2,7,4
"hsa-miR-1910-5p",27,49,38,293,41,114,199,141
"hsa-miR-1911-3p",0,0,0,0,0,0,0,0
"hsa-miR-1911-5p",0,0,0,0,0,0,0,0
"hsa-miR-1912-3p",0,0,0,0,0,0,0,0
"hsa-miR-1912-5p",0,0,0,0,0,0,0,0
"hsa-miR-1913",0,0,0,0,0,0,0,0
"hsa-miR-1914-3p",0,0,0,0,0,0,0,0
"hsa-miR-1914-5p",1,0,0,0,0,0,1,0
"hsa-miR-1915-3p",0,0,0,0,1,0,0,0
"hsa-miR-1915-5p",0,0,0,0,0,0,0,0
"hsa-miR-192-3p",0,0,1,0,0,0,0,0
"hsa-miR-192-5p",578,428,709,1674,999,923,1508,1609
"hsa-miR-193a-3p",191,71,388,130,366,38,361,116
"hsa-miR-193a-5p",1,0,8,17,0,5,5,8
"hsa-miR-193b-3p",529,421,443,429,460,185,414,167
"hsa-miR-193b-5p",5,13,9,34,16,27,22,10
"hsa-miR-194-3p",0,3,1,1,1,1,2,1
"hsa-miR-194-5p",18,24.5,20,76,49,50.5,77,38.5
"hsa-miR-195-3p",0,0,1,8,0,0,5,1
"hsa-miR-195-5p",1,0,6,12,6,5,16,10
"hsa-miR-196a-1-3p",0,0,0,0,0,0,0,0
"hsa-miR-196a-3p",11,3,10,18,14,6,17,25
"hsa-miR-196a-5p",146.5,212.5,289,1199.5,336.5,391,564,478.5
"hsa-miR-196b-3p",0,0,0,0,0,1,1,0
