"","SRR5116489.means","SRR5116490.means","SRR5116491.means","SRR5116492.means","SRR5116493.means","SRR5116494.means","SRR5116495.means","SRR5116496.means"
"hsa-miR-196b-5p",55,79,87,541,139,232,310,218
"hsa-miR-197-3p",30,49,26,80,15,27,39,15
"hsa-miR-197-5p",0,0,0,0,1,0,3,0
"hsa-miR-1972",0,1,2,2,0,1,1,2
"hsa-miR-1973",0,0,0,0,0,0,0,0
"hsa-miR-1976",0,0,0,0,0,0,0,0
"hsa-miR-198",0,0,0,0,0,0,0,0
"hsa-miR-199a-3p",3,0,5,14,4,3,10,6
"hsa-miR-199a-5p",0,0,0,1,0,0,0,0
"hsa-miR-199b-3p",3,0,5,14,4,3,10,6
"hsa-miR-199b-5p",1,0,0,28,3,5,7,16
"hsa-miR-19a-3p",16,83,182,413,178,65,319,181
"hsa-miR-19a-5p",0,0,0,5,3,1,4,5
"hsa-miR-19b-1-5p",1,1,1,0,1,2,1,2
"hsa-miR-19b-2-5p",0,0,0,0,0,0,0,0
"hsa-miR-19b-3p",66,258.5,530.5,872,536,205.5,752.5,430.5
"hsa-miR-200a-3p",224,158,328,555,420,296,642,419
"hsa-miR-200a-5p",42,29,49,118,77,67,144,80
"hsa-miR-200b-3p",2406,2881,4119,11236,4548,5838,10257,5788
"hsa-miR-200b-5p",25,19,17,71,30,43,59,40
"hsa-miR-200c-3p",619,1311,741,1994,1106,1774,1492,732
"hsa-miR-200c-5p",3,0,4,17,11,5,8,9
"hsa-miR-202-3p",0,0,0,0,0,0,0,0
"hsa-miR-202-5p",0,0,0,0,0,0,0,0
"hsa-miR-203a-3p",5870,6021,7596,1363,8213,1383,2621,929
"hsa-miR-203a-5p",8,11,12,3,20,2,4,2
"hsa-miR-203b-3p",1,1,3,8,1,2,7,4
"hsa-miR-203b-5p",0,0,0,0,0,0,0,0
"hsa-miR-204-3p",0,0,0,0,0,0,0,0
"hsa-miR-204-5p",3,0,2,4,1,1,3,2
"hsa-miR-205-3p",27,17,42,113,38,34,93,52
"hsa-miR-205-5p",37886,33459,53376,109788,56768,48917,109174,61736
"hsa-miR-2052",0,0,0,0,0,0,0,0
"hsa-miR-2053",0,0,0,0,0,0,0,0
"hsa-miR-2054",0,0,0,0,0,0,0,0
"hsa-miR-206",0,0,0,0,0,0,0,0
"hsa-miR-208a-3p",0,0,0,0,0,0,0,0
"hsa-miR-208a-5p",0,0,0,0,0,0,0,0
"hsa-miR-208b-3p",0,0,0,0,0,0,0,0
"hsa-miR-208b-5p",0,0,0,0,0,0,0,0
"hsa-miR-20a-3p",3,5,11,28,13,12,30,12
"hsa-miR-20a-5p",162,223,411,852,429,376,660,451
"hsa-miR-20b-3p",0,0,0,0,0,0,0,2
"hsa-miR-20b-5p",0,0,6,47,0,0,11,24
"hsa-miR-21-3p",2085,745,2634,3971,3668,1745,3868,4496
"hsa-miR-21-5p",33453,22918,43952,108312,62833,43976,72536,62652
"hsa-miR-210-3p",265,171,229,177,386,160,351,100
"hsa-miR-210-5p",13,4,1,1,4,7,8,1
"hsa-miR-211-3p",0,0,0,6,0,0,0,1
"hsa-miR-211-5p",0,45,0,619,0,0,0,294
"hsa-miR-2110",1,2,1,21,2,13,10,8
"hsa-miR-2113",0,0,0,0,0,0,1,0
"hsa-miR-2114-3p",0,0,0,0,0,0,0,0
"hsa-miR-2114-5p",0,0,0,0,0,0,0,0
"hsa-miR-2115-3p",0,0,0,0,0,0,0,0
"hsa-miR-2115-5p",0,0,0,0,0,0,0,0
"hsa-miR-2116-3p",12,11,4,19,11,15,19,6
"hsa-miR-2116-5p",2,1,4,3,3,2,5,3
"hsa-miR-2117",0,0,0,0,0,0,0,0
"hsa-miR-212-3p",8,2,21,27,9,9,42,17
"hsa-miR-212-5p",0,0,5,5,3,2,18,17
"hsa-miR-214-3p",0,0,0,0,0,0,0,0
"hsa-miR-214-5p",0,0,0,0,0,0,0,0
"hsa-miR-215-3p",0,0,0,0,1,0,0,0
"hsa-miR-215-5p",6,3,4,23,16,7,12,13
"hsa-miR-216a-3p",0,0,0,0,0,0,1,0
"hsa-miR-216a-5p",0,0,0,0,0,0,0,0
"hsa-miR-216b-3p",0,0,0,0,0,0,0,0
"hsa-miR-216b-5p",0,0,0,0,0,0,0,0
"hsa-miR-217-3p",0,0,0,0,0,0,0,0
"hsa-miR-217-5p",0,0,0,0,0,0,0,0
"hsa-miR-218-1-3p",0,0,0,0,0,0,0,1
"hsa-miR-218-2-3p",0,0,1,0,0,0,0,0
"hsa-miR-218-5p",19,10.5,39,136,51.5,56.5,92.5,150
"hsa-miR-219a-1-3p",3,5,3,24,6,7,27,19
"hsa-miR-219a-2-3p",0,0,0,0,0,0,0,0
"hsa-miR-219a-5p",0,0,0.5,0.5,1.5,0,0,0.5
"hsa-miR-219b-3p",0,0,2,2,0,0,0,1
"hsa-miR-219b-5p",0,0,0,2,0,0,1,0
"hsa-miR-22-3p",47910,38144,59582,145181,68920,43230,102185,77992
"hsa-miR-22-5p",20,16,18,42,24,23,27,17
"hsa-miR-221-3p",4984,4304,7893,11631,6193,3995,7917,5199
"hsa-miR-221-5p",176,413,985,1988,679,651,1802,1290
"hsa-miR-222-3p",8728,15905,9405,58213,13683,31180,36377,21929
"hsa-miR-222-5p",39,42,50,157,73,53,144,199
"hsa-miR-223-3p",0,1,0,0,0,0,0,0
"hsa-miR-223-5p",0,0,0,0,0,0,0,0
"hsa-miR-224-3p",1,0,6,11,10,4,7,2
"hsa-miR-224-5p",407,604,604,1206,827,633,1099,638
"hsa-miR-2276-3p",0,0,2,2,1,0,0,1
"hsa-miR-2276-5p",0,0,0,0,0,0,0,0
"hsa-miR-2277-3p",2,0,0,1,1,1,1,0
"hsa-miR-2277-5p",1,3,6,12,5,3,20,4
"hsa-miR-2278",0,0,0,1,0,1,0,0
"hsa-miR-2355-3p",2,2,3,9,2,3,4,4
"hsa-miR-2355-5p",7,9,27,46,24,5,41,37
"hsa-miR-2392",0,0,0,0,0,0,0,0
"hsa-miR-23a-3p",1059,1462,2268,5029,2195,1780,4530,2894
"hsa-miR-23a-5p",1,1,1,5,0,1,3,1
"hsa-miR-23b-3p",303,429,651,1183,447,299,696,612
"hsa-miR-23b-5p",0,1,0,0,0,1,3,2
"hsa-miR-23c",0,0,1,0,1,1,0,0
"hsa-miR-24-1-5p",1,1,1,1,1,0,3,0
"hsa-miR-24-2-5p",92,129,212,452,263,158,434,311
"hsa-miR-24-3p",179,310,347,740,488.5,789.5,792.5,765.5
"hsa-miR-2467-3p",0,0,0,1,0,0,1,0
"hsa-miR-2467-5p",1,3,4,18,5,7,14,14
"hsa-miR-25-3p",426,336,754,3694,1345,1988,2585,2148
"hsa-miR-25-5p",12,11,18,193,52,116,196,88
"hsa-miR-2681-3p",0,0,0,1,0,0,0,0
"hsa-miR-2681-5p",0,0,0,0,0,0,0,0
"hsa-miR-2682-3p",0,0,0,0,0,0,0,0
"hsa-miR-2682-5p",0,1,0,2,1,1,0,2
"hsa-miR-26a-1-3p",1,1,6,4,2,4,6,11
"hsa-miR-26a-2-3p",0,0,1,3,5,4,7,8
"hsa-miR-26a-5p",11413.5,11501,19282,44359.5,23008,20338.5,38596.5,32921
"hsa-miR-26b-3p",12,8,27,52,38,37,82,75
"hsa-miR-26b-5p",551,571,1023,2529,1373,1064,2151,1584
"hsa-miR-27a-3p",9263,5123,14250,17644,15317,7448,20592,13612
"hsa-miR-27a-5p",103,117,121,680,184,279,429,362
"hsa-miR-27b-3p",6842,4264,13738,23126,14172,9627,20816,19636
"hsa-miR-27b-5p",17,31,26,238,54,90,151,166
"hsa-miR-28-3p",1056,1210,1389,6950,1952,3380,4677,3694
"hsa-miR-28-5p",225,178,249,815,436,328,715,473
"hsa-miR-2861",0,0,0,0,0,0,0,0
"hsa-miR-2909",0,0,0,0,0,0,0,0
"hsa-miR-296-3p",4,8,9,38,14,28,50,21
"hsa-miR-296-5p",4,6,6,9,6,4,10,2
"hsa-miR-297",0,0,0,0,0,0,0,0
"hsa-miR-298",0,0,0,0,0,0,0,0
"hsa-miR-299-3p",1,2,0,9,2,5,0,7
"hsa-miR-299-5p",0,0,0,0,0,1,1,1
"hsa-miR-29a-3p",2616,2305,3408,10353,5717,4304,8595,7055
"hsa-miR-29a-5p",18,23,22,119,68,27,105,55
"hsa-miR-29b-1-5p",3,6,9,100,13,32,59,51
"hsa-miR-29b-2-5p",1,1,3,5,1,3,3,3
"hsa-miR-29b-3p",207,119,319,833,439.5,217.5,598.5,564
"hsa-miR-29c-3p",49,34,78,125,126,61,117,109
"hsa-miR-29c-5p",3,7,16,21,9,18,34,8
"hsa-miR-300",0,0,0,0,0,0,0,0
"hsa-miR-301a-3p",110,143,263,544,459,260,709,365
"hsa-miR-301a-5p",3,0,2,3,2,2,8,5
"hsa-miR-301b-3p",30,32,55,182,77,92,154,92
"hsa-miR-301b-5p",0,0,1,0,0,0,1,1
"hsa-miR-302a-3p",0,1,0,0,1,0,0,0
"hsa-miR-302a-5p",0,0,0,0,0,0,0,0
"hsa-miR-302b-3p",1,0,0,0,0,0,0,0
"hsa-miR-302b-5p",0,0,0,0,0,0,0,0
"hsa-miR-302c-3p",0,0,0,0,0,0,0,0
"hsa-miR-302c-5p",0,0,0,0,0,0,0,0
"hsa-miR-302d-3p",0,0,0,0,0,0,0,0
"hsa-miR-302d-5p",0,0,0,0,0,0,0,0
"hsa-miR-302e",0,0,0,0,0,0,0,0
"hsa-miR-302f",0,0,0,0,0,0,0,0
"hsa-miR-3059-3p",0,0,0,0,0,0,0,0
"hsa-miR-3059-5p",0,0,0,0,0,0,0,0
"hsa-miR-3064-3p",0,0,0,0,0,0,0,0
"hsa-miR-3064-5p",0,0,0,0,1,0,1,0
"hsa-miR-3065-3p",16,18,12,25,18,13,31,13
"hsa-miR-3065-5p",12,14,14,37,25,25,38,13
"hsa-miR-3074-3p",0,0,0,0,0,0,0,0
"hsa-miR-3074-5p",0,0,0,0,0,0,2,0
"hsa-miR-3085-3p",0,0,0,0,1,0,0,0
"hsa-miR-3085-5p",0,0,0,0,0,0,0,0
"hsa-miR-30a-3p",141,244,154,971,304,852,408,442
"hsa-miR-30a-5p",5528,7784,5218,21738,12275,17156,13067,13180
"hsa-miR-30b-3p",0,1,4,8,5,13,9,9
"hsa-miR-30b-5p",516,522,669,1592,1065,636,1291,818
"hsa-miR-30c-1-3p",5,12,19,98,18,53,59,60
"hsa-miR-30c-2-3p",31,34,31,127,73,129,102,91
"hsa-miR-30c-5p",797,1901,966,6019.5,2037,3594.5,3749,2392
"hsa-miR-30d-3p",31,38,47,152,63,50,106,122
"hsa-miR-30d-5p",2098,3719,3282,13374,4782,6108,9036,7109
"hsa-miR-30e-3p",50,88,77,420,114,214,213,236
"hsa-miR-30e-5p",1194,1645,2550,7384,3788,2994,6217,5130
"hsa-miR-31-3p",14,8,24,24,27,3,19,20
"hsa-miR-31-5p",12744,8776,14720,27719,17632,12107,27498,14670
"hsa-miR-3115",0,0,0,0,0,0,0,0
"hsa-miR-3116",0,1,3,0,2,1,0,2
"hsa-miR-3117-3p",0,0,0,0,0,0,0,1
"hsa-miR-3117-5p",0,0,0,0,0,0,0,0
"hsa-miR-3118",0,0,0,0,0,0,0,0
"hsa-miR-3119",0,0,0,0,0,0,0,0
"hsa-miR-3120-3p",0,0,0,2,0,0,0,0
"hsa-miR-3120-5p",0,0,0,0,0,0,0,0
"hsa-miR-3121-3p",0,0,1,0,2,3,2,0
"hsa-miR-3121-5p",0,0,0,0,0,0,0,0
"hsa-miR-3122",0,0,0,0,0,0,0,0
"hsa-miR-3123",0,0,0,0,0,0,0,0
"hsa-miR-3124-3p",0,0,0,0,0,0,0,0
"hsa-miR-3124-5p",0,0,0,2,0,0,0,0
"hsa-miR-3125",0,0,0,0,0,0,0,0
"hsa-miR-3126-3p",0,0,0,0,0,0,0,0
"hsa-miR-3126-5p",0,1,0,0,0,1,1,6
"hsa-miR-3127-3p",1,1,1,0,0,1,0,0
"hsa-miR-3127-5p",0,1,1,5,2,5,3,1
"hsa-miR-3128",0,0,0,0,2,0,2,0
"hsa-miR-3129-3p",0,0,0,2,2,1,1,3
"hsa-miR-3129-5p",0,0,0,4,0,0,2,3
"hsa-miR-3130-3p",0,0,0,0,0,1,0,0
"hsa-miR-3130-5p",0,0,1,0.5,1,0,1.5,4
"hsa-miR-3131",0,0,0,0,0,0,0,0
"hsa-miR-3132",0,0,0,0,0,0,0,0
"hsa-miR-3133",0,0,0,1,1,0,0,1
"hsa-miR-3134",0,0,0,0,0,0,0,0
"hsa-miR-3135a",0,0,0,0,0,0,0,0
"hsa-miR-3135b",0,0,0,0,0,0,0,0
"hsa-miR-3136-3p",0,0,0,0,0,0,0,0
"hsa-miR-3136-5p",0,0,2,0,1,0,1,1
"hsa-miR-3137",0,0,0,0,0,0,0,0
"hsa-miR-3138",0,0,0,2,1,2,2,2
"hsa-miR-3139",0,0,0,0,0,0,1,0
"hsa-miR-3140-3p",0,0,0,0,0,0,0,1
"hsa-miR-3140-5p",0,0,0,0,0,0,0,0
"hsa-miR-3141",0,0,0,0,0,0,0,0
"hsa-miR-3142",0,0,0,0,0,0,0,0
"hsa-miR-3143",1,0,1,2,0,1,2,3
"hsa-miR-3144-3p",0,0,0,0,0,0,0,0
"hsa-miR-3144-5p",0,0,0,0,0,0,0,0
"hsa-miR-3145-3p",0,0,0,1,0,1,0,0
"hsa-miR-3145-5p",0,0,1,2,1,1,1,0
"hsa-miR-3146",0,0,0,0,1,0,0,1
"hsa-miR-3147",0,0,0,0,0,0,0,0
"hsa-miR-3148",0,0,0,0,0,0,0,0
"hsa-miR-3149",0,0,0,2,0,0,0,0
"hsa-miR-3150a-3p",0,0,0,0,0,0,0,0
"hsa-miR-3150a-5p",0,0,0,1,1,0,1,1
"hsa-miR-3150b-3p",0,0,0,0,1,0,0,0
"hsa-miR-3150b-5p",0,0,0,0,0,0,0,0
"hsa-miR-3151-3p",0,0,0,0,0,0,0,0
"hsa-miR-3151-5p",0,0,0,0,0,0,0,0
"hsa-miR-3152-3p",0,0,0,0,0,0,0,0
"hsa-miR-3152-5p",1,0,1,3,1,0,0,0
"hsa-miR-3153",0,0,0,0,0,0,0,0
"hsa-miR-3154",0,0,0,0,0,0,0,0
"hsa-miR-3155a",0,0,0,1,0,0,0,1
"hsa-miR-3155b",0,0,0,0.5,0,0,0,0.5
"hsa-miR-3156-3p",0,0,0,0,0,0,0,0
"hsa-miR-3156-5p",0,0,0,0,0,0,0,0
"hsa-miR-3157-3p",0,0,1,0,2,0,3,2
"hsa-miR-3157-5p",0,0,1,3,0,0,0,0
"hsa-miR-3158-3p",2,2,8,14,3,3,11,9
"hsa-miR-3158-5p",0,0,0,0,0,0,0,0
"hsa-miR-3159",0,1,0,0,1,1,1,2
"hsa-miR-3160-3p",1,0,0,0,0,0,0,0
"hsa-miR-3160-5p",0,0,0,0,0,0,0,0
"hsa-miR-3161",0,0,0,2,0,0,0,0
"hsa-miR-3162-3p",0,0,0,0,0,0,0,0
"hsa-miR-3162-5p",0,0,0,1,0,0,1,0
"hsa-miR-3163",0,0,0,0,0,1,0,0
"hsa-miR-3164",0,0,0,0,0,0,0,0
"hsa-miR-3165",0,0,0,0,1,0,0,0
"hsa-miR-3166",1,0,1,1,0,1,3,3
"hsa-miR-3167",0,0,0,0,0,0,0,0
"hsa-miR-3168",0,0,0,0,0,0,0,0
"hsa-miR-3169",0,0,0,0,0,0,0,0
"hsa-miR-3170",0,1,0,0,0,0,0,0
"hsa-miR-3171",0,0,0,0,0,0,0,0
"hsa-miR-3173-3p",0,0,0,1,0,1,1,1
"hsa-miR-3173-5p",2,0,3,12,2,3,6,3
"hsa-miR-3174",1,2,3,6,4,4,11,0
"hsa-miR-3175",0,0,0,0,0,0,1,0
"hsa-miR-3176",3,8,9,39,18,21,32,39
"hsa-miR-3177-3p",0,3,0,3,0,3,6,0
"hsa-miR-3177-5p",0,0,0,0,0,0,0,0
"hsa-miR-3178",0,0,0,0,0,0,0,0
"hsa-miR-3179",0,0,0,0,0,1,1,0
"hsa-miR-3180",3,1,1,2,1,17,2,3
"hsa-miR-3180-3p",3,1,1,2,1,17,2,3
"hsa-miR-3180-5p",0,0,0,0,0,0,1,1
"hsa-miR-3181",0,1,1,0,0,0,0,1
"hsa-miR-3182",0,0,0,0,0,0,0,0
"hsa-miR-3183",0,0,0,1,0,0,0,0
"hsa-miR-3184-3p",0,0,0,0,0,0,0,0
"hsa-miR-3184-5p",0,0,0,0,0,0,0,0
"hsa-miR-3185",0,0,0,0,0,0,0,0
"hsa-miR-3186-3p",0,0,0,0,0,0,0,0
"hsa-miR-3186-5p",0,0,0,0,0,0,0,0
"hsa-miR-3187-3p",1,1,1,1,2,1,3,1
"hsa-miR-3187-5p",0,0,0,0,0,0,0,1
"hsa-miR-3188",0,0,2,0,1,0,0,0
"hsa-miR-3189-3p",0,0,0,0,0,0,0,0
"hsa-miR-3189-5p",0,0,0,0,0,0,0,0
"hsa-miR-3190-3p",0,0,0,0,0,0,0,0
"hsa-miR-3190-5p",0,0,0,0,0,0,0,0
"hsa-miR-3191-3p",0,0,0,0,0,0,0,0
"hsa-miR-3191-5p",0,0,0,0,0,0,0,0
"hsa-miR-3192-3p",0,0,0,0,0,0,0,0
"hsa-miR-3192-5p",0,0,0,0,0,0,0,0
"hsa-miR-3193",0,0,0,0,0,0,0,0
"hsa-miR-3194-3p",0,0,0,0,0,0,0,0
"hsa-miR-3194-5p",0,0,0,0,0,0,0,0
"hsa-miR-3195",0,0,0,0,0,0,0,0
"hsa-miR-3196",0,0,0,0,0,0,0,0
"hsa-miR-3197",0,0,0,0,0,0,0,0
"hsa-miR-3198",0,0,0,0,0,0,0,0
"hsa-miR-3199",0,1,0,0,0,0,1,0
"hsa-miR-32-3p",1,2,3,8,0,4,9,8
"hsa-miR-32-5p",4,1,5,7,17,4,6,7
"hsa-miR-3200-3p",2,1,8,5,6,4,6,4
"hsa-miR-3200-5p",0,1,0,1,0,0,1,0
"hsa-miR-3201",0,0,0,0,0,0,0,0
"hsa-miR-3202",0,0,0,0,0,0,0,0
"hsa-miR-320a-3p",733,702,904,3576,1037,1422,2355,1514
"hsa-miR-320a-5p",0,0,0,0,0,0,0,0
"hsa-miR-320b",67.5,76,100,419,192.5,327.5,421,205
"hsa-miR-320c",3,2,2.5,23,9.5,20.5,10,9
"hsa-miR-320d",0,0.5,0.5,3.5,2.5,2,1,2.5
"hsa-miR-320e",0,0,0,0,0,0,1,0
"hsa-miR-323a-3p",1,8,1,19,5,10,7,3
"hsa-miR-323a-5p",0,0,0,0,0,0,1,0
"hsa-miR-323b-3p",0,0,1,6,2,2,2,1
"hsa-miR-323b-5p",0,0,0,0,0,0,0,0
"hsa-miR-324-3p",20,21,29,57,31,27,39,23
"hsa-miR-324-5p",10,6,24,34,23,13,24,19
"hsa-miR-325",0,0,0,0,0,0,0,0
"hsa-miR-326",0,1,0,0,0,0,0,2
"hsa-miR-328-3p",16,13,6,20,14,11,19,6
"hsa-miR-328-5p",0,0,0,1,0,0,0,0
"hsa-miR-329-3p",0,0,0,1,0,4,0,3
"hsa-miR-329-5p",0,0,0,0,0,0,0,0
"hsa-miR-330-3p",12,12,18,71,25,26,68,38
"hsa-miR-330-5p",25,5,39,68,45,40,67,50
"hsa-miR-331-3p",70,66,79,186,75,71,183,66
"hsa-miR-331-5p",9,11,20,93,21,25,61,47
"hsa-miR-335-3p",15,49,229,1152,91,179,638,1146
"hsa-miR-335-5p",12,64,193,534,77,117,398,291
"hsa-miR-337-3p",0,2,0,1,0,4,0,0
"hsa-miR-337-5p",0,0,0,0,0,0,0,0
"hsa-miR-338-3p",0,1,0,6,0,0,0,8
"hsa-miR-338-5p",0,0,0,1,0,0,0,1
"hsa-miR-339-3p",80,56,121,236,146,123,269,164
"hsa-miR-339-5p",34,20,46,75,49,30,80,51
"hsa-miR-33a-3p",1,0,0,5,2,0,2,5
"hsa-miR-33a-5p",8,4,10,24,15,5,22,23
"hsa-miR-33b-3p",2,3,9,44,11,16,29,46
"hsa-miR-33b-5p",0,1,6,4,4,1,5,6
"hsa-miR-340-3p",3,1,9,47,11,19,45,39
"hsa-miR-340-5p",92,48,124,367,166,124,295,244
"hsa-miR-342-3p",71,77,153,237,133,90,260,158
"hsa-miR-342-5p",0,9,2,27,9,18,17,6
"hsa-miR-345-3p",0,0,0,0,0,1,1,0
"hsa-miR-345-5p",64,40,90,467,257,335,585,416
"hsa-miR-346",0,0,0,0,0,0,0,0
"hsa-miR-34a-3p",1,1,1,0,9,4,1,0
"hsa-miR-34a-5p",35,57,7,18,130,114,15,10
"hsa-miR-34b-3p",10,22,3,9,22,16,18,4
"hsa-miR-34b-5p",10,7,7,7,35,23,22,9
"hsa-miR-34c-3p",24,16,15,11,71,46,16,8
"hsa-miR-34c-5p",152,147,145,258,694,451,334,168
"hsa-miR-3529-3p",0,0,0,0,0,0,0,0
"hsa-miR-3529-5p",0,0,0,0,0,0,0,0
"hsa-miR-3605-3p",13,24,9,80,10,49,69,37
"hsa-miR-3605-5p",3,4,7,21,5,19,16,20
"hsa-miR-3606-3p",0,0,0,0,0,0,0,0
"hsa-miR-3606-5p",0,0,0,0,0,0,0,0
"hsa-miR-3609",0,2,1,0,0,0,0,1
"hsa-miR-361-3p",32,47,47,152,82,79,123,66
"hsa-miR-361-5p",69,134,111,474,142,192,259,287
"hsa-miR-3610",0,0,0,0,0,0,0,0
"hsa-miR-3611",0,0,0,2,1,1,1,0
"hsa-miR-3612",0,0,0,0,0,0,0,0
"hsa-miR-3613-3p",1,0,1,2,0,1,2,2
"hsa-miR-3613-5p",0,0,2,0,1,1,0,0
"hsa-miR-3614-3p",1,0,0,0,1,0,0,0
"hsa-miR-3614-5p",11,5,8,9,8,11,5,12
"hsa-miR-3615",13,21,6,38,15,20,16,14
"hsa-miR-3616-3p",0,0,0,0,0,0,0,0
"hsa-miR-3616-5p",0,0,0,0,0,0,0,0
"hsa-miR-3617-3p",0,0,0,0,0,0,0,0
"hsa-miR-3617-5p",0,0,1,0,0,0,1,0
"hsa-miR-3618",0,0,0,0,0,0,0,0
"hsa-miR-3619-3p",0,0,0,0,0,0,0,0
"hsa-miR-3619-5p",0,0,0,1,1,0,1,0
"hsa-miR-362-3p",0,0,1,0,1,0,0,0
"hsa-miR-362-5p",7,5,21,95,24,16,43,61
"hsa-miR-3620-3p",0,0,0,0,0,0,0,0
"hsa-miR-3620-5p",0,0,1,1,0,1,1,1
"hsa-miR-3621",0,0,0,0,0,0,0,0
"hsa-miR-3622a-3p",0,0,0,0,0,0,0,0
"hsa-miR-3622a-5p",0,0,0,1,0,0,0,0
"hsa-miR-3622b-3p",0,0,0,0,0,1,0,0
"hsa-miR-3622b-5p",0,0,0,0,0,0,0,0
"hsa-miR-363-3p",0,3,70,485,4,2,158,425
"hsa-miR-363-5p",0,0,0,1,0,0,0,0
"hsa-miR-3646",0,0,0,2,0,0,1,0
"hsa-miR-3648",1,0,0,1,0,0,0,0
"hsa-miR-3649",0,0,0,0,0,0,0,0
"hsa-miR-3650",0,0,0,0,0,0,0,0
"hsa-miR-3651",0,3,2,4,0,4,0,0
"hsa-miR-3652",0,0,0,0,0,0,0,0
"hsa-miR-3654",0,0,0,0,0,0,0,0
"hsa-miR-3655",0,0,0,0,0,0,0,0
"hsa-miR-3657",0,0,0,0,0,0,0,0
"hsa-miR-3658",0,0,0,0,0,0,0,0
"hsa-miR-3659",0,0,0,0,0,0,0,0
"hsa-miR-365a-3p",61,78.5,118,244,111,83,217,166
"hsa-miR-365a-5p",1,3,2,6,2,2,3,0
"hsa-miR-365b-3p",61,78.5,118,244,111,83,217,166
"hsa-miR-365b-5p",7,11,23,67,17,38,66,32
"hsa-miR-3660",0,0,0,0,0,0,0,0
"hsa-miR-3661",1,2,0,13,2,4,8,7
"hsa-miR-3662",0,0,2,7,0,1,4,4
"hsa-miR-3663-3p",0,0,0,0,0,0,0,0
"hsa-miR-3663-5p",0,0,0,0,0,0,0,0
"hsa-miR-3664-3p",2,0,1,4,4,0,3,2
"hsa-miR-3664-5p",0,0,0,0,0,0,0,0
"hsa-miR-3665",0,0,0,0,0,0,0,0
"hsa-miR-3666",0,0,0,0,0,0,0,0
"hsa-miR-3667-3p",0,0,0,0,0,0,0,0
"hsa-miR-3667-5p",0,0,0,0,0,0,0,0
"hsa-miR-3668",0,0,0,0,0,0,0,0
"hsa-miR-367-3p",0,0,0,0,0,0,0,0
"hsa-miR-367-5p",0,0,0,0,0,0,0,0
"hsa-miR-3670",0,0,0,0,0,0,0,0
"hsa-miR-3671",0,0,0,0,0,0,0,0
"hsa-miR-3672",0,0,0,0,0,0,0,0
"hsa-miR-3674",0,0,0,0,0,0,0,0
"hsa-miR-3675-3p",0,0,0,0,0,0,0,0
"hsa-miR-3675-5p",0,0,0,1,0,1,0,1
