"","X.miRNA","means"
"1","hsa-let-7a-2-3p",2
"2","hsa-let-7a-3p",75
"3","hsa-let-7a-5p",16252
"4","hsa-let-7b-3p",21
"5","hsa-let-7b-5p",6439
"6","hsa-let-7c-3p",3
"7","hsa-let-7c-5p",488
"8","hsa-let-7d-3p",27
"9","hsa-let-7d-5p",1478
"10","hsa-let-7e-3p",12
"11","hsa-let-7e-5p",1552
"12","hsa-let-7f-1-3p",18
"13","hsa-let-7f-2-3p",20
"14","hsa-let-7f-5p",26036
"15","hsa-let-7g-3p",5
"16","hsa-let-7g-5p",2361
"17","hsa-let-7i-3p",7
"18","hsa-let-7i-5p",11946
"19","hsa-miR-1-3p",0
"20","hsa-miR-1-5p",0
"21","hsa-miR-100-3p",260
"22","hsa-miR-100-5p",14718
"23","hsa-miR-101-2-5p",0
"24","hsa-miR-101-3p",402
"25","hsa-miR-101-5p",2
"26","hsa-miR-10226",0
"27","hsa-miR-10392-3p",0
"28","hsa-miR-10392-5p",0
"29","hsa-miR-10393-3p",0
"30","hsa-miR-10393-5p",0
"31","hsa-miR-10394-3p",0
"32","hsa-miR-10394-5p",0
"33","hsa-miR-10395-3p",0
"34","hsa-miR-10395-5p",0
"35","hsa-miR-10396a-3p",0
"36","hsa-miR-10396a-5p",0
"37","hsa-miR-10396b-3p",1
"38","hsa-miR-10396b-5p",0
"39","hsa-miR-10397-3p",0
"40","hsa-miR-10397-5p",0
"41","hsa-miR-10398-3p",0
"42","hsa-miR-10398-5p",0
"43","hsa-miR-10399-3p",10
"44","hsa-miR-10399-5p",11
"45","hsa-miR-103a-1-5p",0
"46","hsa-miR-103a-2-5p",1
"47","hsa-miR-103a-3p",2615.5
"48","hsa-miR-103b",0
"49","hsa-miR-10400-3p",0
"50","hsa-miR-10400-5p",0
"51","hsa-miR-10401-3p",6
"52","hsa-miR-10401-5p",0
"53","hsa-miR-105-3p",0
"54","hsa-miR-105-5p",0
"55","hsa-miR-10522-5p",0
"56","hsa-miR-10523-5p",4
"57","hsa-miR-10524-5p",0
"58","hsa-miR-10525-3p",0
"59","hsa-miR-10526-3p",0
"60","hsa-miR-10527-5p",5
"61","hsa-miR-106a-3p",1
"62","hsa-miR-106a-5p",25
"63","hsa-miR-106b-3p",258
"64","hsa-miR-106b-5p",253
"65","hsa-miR-107",364
"66","hsa-miR-10a-3p",1
"67","hsa-miR-10a-5p",2064
"68","hsa-miR-10b-3p",2
"69","hsa-miR-10b-5p",6228
"70","hsa-miR-11181-3p",0
"71","hsa-miR-11181-5p",0
"72","hsa-miR-11399",1
"73","hsa-miR-11400",0
"74","hsa-miR-11401",0
"75","hsa-miR-1178-3p",0
"76","hsa-miR-1178-5p",0
"77","hsa-miR-1179",0
"78","hsa-miR-1180-3p",50
"79","hsa-miR-1180-5p",1
"80","hsa-miR-1181",0
"81","hsa-miR-1182",0
"82","hsa-miR-1183",0
"83","hsa-miR-1184",0
"84","hsa-miR-1185-1-3p",5
"85","hsa-miR-1185-2-3p",0
"86","hsa-miR-1185-5p",2
"87","hsa-miR-1193",0
"88","hsa-miR-1197",0
"89","hsa-miR-1199-3p",0
"90","hsa-miR-1199-5p",0
"91","hsa-miR-1200",0
"92","hsa-miR-1202",0
"93","hsa-miR-1203",0
"94","hsa-miR-1204",0
"95","hsa-miR-1205",0
"96","hsa-miR-1206",0
"97","hsa-miR-1207-3p",0
"98","hsa-miR-1207-5p",0
"99","hsa-miR-1208",0
"100","hsa-miR-12113",0
"101","hsa-miR-12114",0
"102","hsa-miR-12115",0
"103","hsa-miR-12116",0
"104","hsa-miR-12117",0
"105","hsa-miR-12118",0
"106","hsa-miR-12119",0
"107","hsa-miR-12120",0
"108","hsa-miR-12121",0
"109","hsa-miR-12122",0
"110","hsa-miR-12123",0
"111","hsa-miR-12124",0
"112","hsa-miR-12125",0
"113","hsa-miR-12126",0
"114","hsa-miR-12127",0
"115","hsa-miR-12128",0
"116","hsa-miR-12129",0
"117","hsa-miR-12130",0
"118","hsa-miR-12131",0
"119","hsa-miR-12132",1
"120","hsa-miR-12133",0
"121","hsa-miR-12135",0
"122","hsa-miR-12136",0
"123","hsa-miR-122-3p",0
"124","hsa-miR-122-5p",0
"125","hsa-miR-1224-3p",0
"126","hsa-miR-1224-5p",0
"127","hsa-miR-1225-3p",0
"128","hsa-miR-1225-5p",0
"129","hsa-miR-1226-3p",0
"130","hsa-miR-1226-5p",0
"131","hsa-miR-1227-3p",2
"132","hsa-miR-1227-5p",0
"133","hsa-miR-1228-3p",0
"134","hsa-miR-1228-5p",0
"135","hsa-miR-1229-3p",0
"136","hsa-miR-1229-5p",0
"137","hsa-miR-122b-3p",0
"138","hsa-miR-122b-5p",0
"139","hsa-miR-1231",0
"140","hsa-miR-1233-3p",0
"141","hsa-miR-1233-5p",0
"142","hsa-miR-1234-3p",0
"143","hsa-miR-1236-3p",0
"144","hsa-miR-1236-5p",0
"145","hsa-miR-1237-3p",0
"146","hsa-miR-1237-5p",0
"147","hsa-miR-1238-3p",0
"148","hsa-miR-1238-5p",0
"149","hsa-miR-124-3p",0
"150","hsa-miR-124-5p",0
"151","hsa-miR-1243",1
"152","hsa-miR-1244",0
"153","hsa-miR-1245a",0
"154","hsa-miR-1245b-3p",0
"155","hsa-miR-1245b-5p",0
"156","hsa-miR-1246",1
"157","hsa-miR-1247-3p",0
"158","hsa-miR-1247-5p",0
"159","hsa-miR-1248",5
"160","hsa-miR-1249-3p",1
"161","hsa-miR-1249-5p",0
"162","hsa-miR-1250-3p",0
"163","hsa-miR-1250-5p",0
"164","hsa-miR-1251-3p",0
"165","hsa-miR-1251-5p",0
"166","hsa-miR-1252-3p",0
"167","hsa-miR-1252-5p",0
"168","hsa-miR-1253",0
"169","hsa-miR-1255a",9
"170","hsa-miR-1255b-2-3p",0
"171","hsa-miR-1255b-5p",1
"172","hsa-miR-1256",0
"173","hsa-miR-1257",0
"174","hsa-miR-1258",0
"175","hsa-miR-125a-3p",57
"176","hsa-miR-125a-5p",6227
"177","hsa-miR-125b-1-3p",1587
"178","hsa-miR-125b-2-3p",72
"179","hsa-miR-125b-5p",3198.5
"180","hsa-miR-126-3p",46
"181","hsa-miR-126-5p",254
"182","hsa-miR-1260a",2
"183","hsa-miR-1260b",0
"184","hsa-miR-1261",0
"185","hsa-miR-1262",6
"186","hsa-miR-1263",0
"187","hsa-miR-1264",0
"188","hsa-miR-1265",0
"189","hsa-miR-1266-3p",0
"190","hsa-miR-1266-5p",1
"191","hsa-miR-1267",0
"192","hsa-miR-1268a",0
"193","hsa-miR-1268b",0
"194","hsa-miR-1269a",0
"195","hsa-miR-1269b",0
"196","hsa-miR-127-3p",671
"197","hsa-miR-127-5p",2
"198","hsa-miR-1270",13
"199","hsa-miR-1271-3p",0
"200","hsa-miR-1271-5p",72
"201","hsa-miR-1272",0
"202","hsa-miR-1273c",1
"203","hsa-miR-1273h-3p",0
"204","hsa-miR-1273h-5p",0
"205","hsa-miR-1275",0
"206","hsa-miR-1276",5
"207","hsa-miR-1277-3p",1
"208","hsa-miR-1277-5p",7
"209","hsa-miR-1278",0
"210","hsa-miR-1279",0
"211","hsa-miR-128-1-5p",37
"212","hsa-miR-128-2-5p",0
"213","hsa-miR-128-3p",471
"214","hsa-miR-1281",0
"215","hsa-miR-1282",0
"216","hsa-miR-1283",0
"217","hsa-miR-1284",1
"218","hsa-miR-1285-3p",61
"219","hsa-miR-1285-5p",4
"220","hsa-miR-1286",3
"221","hsa-miR-1287-3p",0
"222","hsa-miR-1287-5p",5
"223","hsa-miR-1288-3p",0
"224","hsa-miR-1288-5p",0
"225","hsa-miR-1289",0
"226","hsa-miR-129-1-3p",0
"227","hsa-miR-129-2-3p",0
"228","hsa-miR-129-5p",7
"229","hsa-miR-1290",0
"230","hsa-miR-1291",1
"231","hsa-miR-1292-3p",0
"232","hsa-miR-1292-5p",0
"233","hsa-miR-1293",20
"234","hsa-miR-1294",2
"235","hsa-miR-1295a",1
"236","hsa-miR-1295b-3p",0
"237","hsa-miR-1295b-5p",0
"238","hsa-miR-1296-3p",1
"239","hsa-miR-1296-5p",36
"240","hsa-miR-1297",0
"241","hsa-miR-1298-3p",0
"242","hsa-miR-1298-5p",0
"243","hsa-miR-1299",29
"244","hsa-miR-1301-3p",26
"245","hsa-miR-1301-5p",0
"246","hsa-miR-1302",0
"247","hsa-miR-1303",9
"248","hsa-miR-1304-3p",127
"249","hsa-miR-1304-5p",1
"250","hsa-miR-1305",10
"251","hsa-miR-1306-3p",4
"252","hsa-miR-1306-5p",1
"253","hsa-miR-1307-3p",158
"254","hsa-miR-1307-5p",233
"255","hsa-miR-130a-3p",2643
"256","hsa-miR-130a-5p",1
"257","hsa-miR-130b-3p",757
"258","hsa-miR-130b-5p",343
"259","hsa-miR-132-3p",67
"260","hsa-miR-132-5p",20
"261","hsa-miR-1321",0
"262","hsa-miR-1322",0
"263","hsa-miR-1323",0
"264","hsa-miR-1324",0
"265","hsa-miR-133a-3p",1
"266","hsa-miR-133a-5p",0
"267","hsa-miR-133b",0
"268","hsa-miR-134-3p",0
"269","hsa-miR-134-5p",4
"270","hsa-miR-1343-3p",3
"271","hsa-miR-1343-5p",0
"272","hsa-miR-135a-2-3p",0
"273","hsa-miR-135a-3p",0
"274","hsa-miR-135a-5p",0
"275","hsa-miR-135b-3p",24
"276","hsa-miR-135b-5p",139
"277","hsa-miR-136-3p",37
"278","hsa-miR-136-5p",3
"279","hsa-miR-137-3p",5
"280","hsa-miR-137-5p",0
"281","hsa-miR-138-1-3p",481
"282","hsa-miR-138-2-3p",0
"283","hsa-miR-138-5p",2066
"284","hsa-miR-139-3p",0
"285","hsa-miR-139-5p",0
"286","hsa-miR-140-3p",147
"287","hsa-miR-140-5p",4
"288","hsa-miR-141-3p",4560
"289","hsa-miR-141-5p",590
"290","hsa-miR-142-3p",1
"291","hsa-miR-142-5p",4
"292","hsa-miR-143-3p",4
"293","hsa-miR-143-5p",0
"294","hsa-miR-144-3p",0
"295","hsa-miR-144-5p",0
"296","hsa-miR-145-3p",0
"297","hsa-miR-145-5p",0
"298","hsa-miR-1468-3p",0
"299","hsa-miR-1468-5p",7
"300","hsa-miR-1469",0
"301","hsa-miR-146a-3p",5
"302","hsa-miR-146a-5p",387
"303","hsa-miR-146b-3p",6
"304","hsa-miR-146b-5p",166
"305","hsa-miR-1470",0
"306","hsa-miR-1471",0
"307","hsa-miR-147a",0
"308","hsa-miR-147b-3p",1
"309","hsa-miR-147b-5p",0
"310","hsa-miR-148a-3p",9844
"311","hsa-miR-148a-5p",354
"312","hsa-miR-148b-3p",1080
"313","hsa-miR-148b-5p",127
"314","hsa-miR-149-3p",0
"315","hsa-miR-149-5p",362
"316","hsa-miR-150-3p",0
"317","hsa-miR-150-5p",1
"318","hsa-miR-151a-3p",4971
"319","hsa-miR-151a-5p",6212
"320","hsa-miR-151b",3141.5
"321","hsa-miR-152-3p",81
"322","hsa-miR-152-5p",32
"323","hsa-miR-153-3p",0
"324","hsa-miR-153-5p",0
"325","hsa-miR-1537-3p",2
"326","hsa-miR-1537-5p",0
"327","hsa-miR-1538",1
"328","hsa-miR-1539",0
"329","hsa-miR-154-3p",0
"330","hsa-miR-154-5p",1
"331","hsa-miR-155-3p",1
"332","hsa-miR-155-5p",898
"333","hsa-miR-1587",0
"334","hsa-miR-15a-3p",0
"335","hsa-miR-15a-5p",212
"336","hsa-miR-15b-3p",13
"337","hsa-miR-15b-5p",352
"338","hsa-miR-16-1-3p",0
"339","hsa-miR-16-2-3p",163
"340","hsa-miR-16-5p",10618.5
"341","hsa-miR-17-3p",158
"342","hsa-miR-17-5p",745
"343","hsa-miR-181a-2-3p",800
"344","hsa-miR-181a-3p",595
"345","hsa-miR-181a-5p",12719
"346","hsa-miR-181b-2-3p",2
"347","hsa-miR-181b-3p",9
"348","hsa-miR-181b-5p",4227
"349","hsa-miR-181c-3p",91
"350","hsa-miR-181c-5p",224
"351","hsa-miR-181d-3p",0
"352","hsa-miR-181d-5p",104
"353","hsa-miR-182-3p",7
"354","hsa-miR-182-5p",21249
"355","hsa-miR-1825",0
"356","hsa-miR-1827",0
"357","hsa-miR-183-3p",51
"358","hsa-miR-183-5p",3642
"359","hsa-miR-184",0
"360","hsa-miR-1843",7
"361","hsa-miR-185-3p",7
"362","hsa-miR-185-5p",5
"363","hsa-miR-186-3p",1
"364","hsa-miR-186-5p",2634
"365","hsa-miR-187-3p",2
"366","hsa-miR-187-5p",0
"367","hsa-miR-188-3p",3
"368","hsa-miR-188-5p",10
"369","hsa-miR-18a-3p",95
"370","hsa-miR-18a-5p",110
"371","hsa-miR-18b-3p",0
"372","hsa-miR-18b-5p",3
"373","hsa-miR-1908-3p",0
"374","hsa-miR-1908-5p",0
"375","hsa-miR-1909-3p",0
"376","hsa-miR-1909-5p",0
"377","hsa-miR-190a-3p",0
"378","hsa-miR-190a-5p",8
"379","hsa-miR-190b-3p",0
"380","hsa-miR-190b-5p",1
"381","hsa-miR-191-3p",44
"382","hsa-miR-191-5p",27285
"383","hsa-miR-1910-3p",4
"384","hsa-miR-1910-5p",141
"385","hsa-miR-1911-3p",0
"386","hsa-miR-1911-5p",0
"387","hsa-miR-1912-3p",0
"388","hsa-miR-1912-5p",0
"389","hsa-miR-1913",0
"390","hsa-miR-1914-3p",0
"391","hsa-miR-1914-5p",0
"392","hsa-miR-1915-3p",0
"393","hsa-miR-1915-5p",0
"394","hsa-miR-192-3p",0
"395","hsa-miR-192-5p",1609
"396","hsa-miR-193a-3p",116
"397","hsa-miR-193a-5p",8
"398","hsa-miR-193b-3p",167
"399","hsa-miR-193b-5p",10
"400","hsa-miR-194-3p",1
"401","hsa-miR-194-5p",38.5
"402","hsa-miR-195-3p",1
"403","hsa-miR-195-5p",10
"404","hsa-miR-196a-1-3p",0
"405","hsa-miR-196a-3p",25
"406","hsa-miR-196a-5p",478.5
"407","hsa-miR-196b-3p",0
"408","hsa-miR-196b-5p",218
"409","hsa-miR-197-3p",15
"410","hsa-miR-197-5p",0
"411","hsa-miR-1972",2
"412","hsa-miR-1973",0
"413","hsa-miR-1976",0
"414","hsa-miR-198",0
"415","hsa-miR-199a-3p",6
"416","hsa-miR-199a-5p",0
"417","hsa-miR-199b-3p",6
"418","hsa-miR-199b-5p",16
"419","hsa-miR-19a-3p",181
"420","hsa-miR-19a-5p",5
"421","hsa-miR-19b-1-5p",2
"422","hsa-miR-19b-2-5p",0
"423","hsa-miR-19b-3p",430.5
"424","hsa-miR-200a-3p",419
"425","hsa-miR-200a-5p",80
"426","hsa-miR-200b-3p",5788
"427","hsa-miR-200b-5p",40
"428","hsa-miR-200c-3p",732
"429","hsa-miR-200c-5p",9
"430","hsa-miR-202-3p",0
"431","hsa-miR-202-5p",0
"432","hsa-miR-203a-3p",929
"433","hsa-miR-203a-5p",2
"434","hsa-miR-203b-3p",4
"435","hsa-miR-203b-5p",0
"436","hsa-miR-204-3p",0
"437","hsa-miR-204-5p",2
"438","hsa-miR-205-3p",52
"439","hsa-miR-205-5p",61736
"440","hsa-miR-2052",0
"441","hsa-miR-2053",0
"442","hsa-miR-2054",0
"443","hsa-miR-206",0
"444","hsa-miR-208a-3p",0
"445","hsa-miR-208a-5p",0
"446","hsa-miR-208b-3p",0
"447","hsa-miR-208b-5p",0
"448","hsa-miR-20a-3p",12
"449","hsa-miR-20a-5p",451
"450","hsa-miR-20b-3p",2
"451","hsa-miR-20b-5p",24
"452","hsa-miR-21-3p",4496
"453","hsa-miR-21-5p",62652
"454","hsa-miR-210-3p",100
"455","hsa-miR-210-5p",1
"456","hsa-miR-211-3p",1
"457","hsa-miR-211-5p",294
"458","hsa-miR-2110",8
"459","hsa-miR-2113",0
"460","hsa-miR-2114-3p",0
"461","hsa-miR-2114-5p",0
"462","hsa-miR-2115-3p",0
"463","hsa-miR-2115-5p",0
"464","hsa-miR-2116-3p",6
"465","hsa-miR-2116-5p",3
"466","hsa-miR-2117",0
"467","hsa-miR-212-3p",17
"468","hsa-miR-212-5p",17
"469","hsa-miR-214-3p",0
"470","hsa-miR-214-5p",0
"471","hsa-miR-215-3p",0
"472","hsa-miR-215-5p",13
"473","hsa-miR-216a-3p",0
"474","hsa-miR-216a-5p",0
"475","hsa-miR-216b-3p",0
"476","hsa-miR-216b-5p",0
"477","hsa-miR-217-3p",0
"478","hsa-miR-217-5p",0
"479","hsa-miR-218-1-3p",1
"480","hsa-miR-218-2-3p",0
"481","hsa-miR-218-5p",150
"482","hsa-miR-219a-1-3p",19
"483","hsa-miR-219a-2-3p",0
"484","hsa-miR-219a-5p",0.5
"485","hsa-miR-219b-3p",1
"486","hsa-miR-219b-5p",0
"487","hsa-miR-22-3p",77992
"488","hsa-miR-22-5p",17
"489","hsa-miR-221-3p",5199
"490","hsa-miR-221-5p",1290
"491","hsa-miR-222-3p",21929
"492","hsa-miR-222-5p",199
"493","hsa-miR-223-3p",0
"494","hsa-miR-223-5p",0
"495","hsa-miR-224-3p",2
"496","hsa-miR-224-5p",638
"497","hsa-miR-2276-3p",1
"498","hsa-miR-2276-5p",0
"499","hsa-miR-2277-3p",0
"500","hsa-miR-2277-5p",4
"501","hsa-miR-2278",0
"502","hsa-miR-2355-3p",4
"503","hsa-miR-2355-5p",37
"504","hsa-miR-2392",0
"505","hsa-miR-23a-3p",2894
"506","hsa-miR-23a-5p",1
"507","hsa-miR-23b-3p",612
"508","hsa-miR-23b-5p",2
"509","hsa-miR-23c",0
"510","hsa-miR-24-1-5p",0
"511","hsa-miR-24-2-5p",311
"512","hsa-miR-24-3p",765.5
"513","hsa-miR-2467-3p",0
"514","hsa-miR-2467-5p",14
"515","hsa-miR-25-3p",2148
"516","hsa-miR-25-5p",88
"517","hsa-miR-2681-3p",0
"518","hsa-miR-2681-5p",0
"519","hsa-miR-2682-3p",0
"520","hsa-miR-2682-5p",2
"521","hsa-miR-26a-1-3p",11
"522","hsa-miR-26a-2-3p",8
"523","hsa-miR-26a-5p",32921
"524","hsa-miR-26b-3p",75
"525","hsa-miR-26b-5p",1584
"526","hsa-miR-27a-3p",13612
"527","hsa-miR-27a-5p",362
"528","hsa-miR-27b-3p",19636
"529","hsa-miR-27b-5p",166
"530","hsa-miR-28-3p",3694
"531","hsa-miR-28-5p",473
"532","hsa-miR-2861",0
"533","hsa-miR-2909",0
"534","hsa-miR-296-3p",21
"535","hsa-miR-296-5p",2
"536","hsa-miR-297",0
"537","hsa-miR-298",0
"538","hsa-miR-299-3p",7
"539","hsa-miR-299-5p",1
"540","hsa-miR-29a-3p",7055
"541","hsa-miR-29a-5p",55
"542","hsa-miR-29b-1-5p",51
"543","hsa-miR-29b-2-5p",3
"544","hsa-miR-29b-3p",564
"545","hsa-miR-29c-3p",109
"546","hsa-miR-29c-5p",8
"547","hsa-miR-300",0
"548","hsa-miR-301a-3p",365
"549","hsa-miR-301a-5p",5
"550","hsa-miR-301b-3p",92
"551","hsa-miR-301b-5p",1
"552","hsa-miR-302a-3p",0
"553","hsa-miR-302a-5p",0
"554","hsa-miR-302b-3p",0
"555","hsa-miR-302b-5p",0
"556","hsa-miR-302c-3p",0
"557","hsa-miR-302c-5p",0
"558","hsa-miR-302d-3p",0
"559","hsa-miR-302d-5p",0
"560","hsa-miR-302e",0
"561","hsa-miR-302f",0
"562","hsa-miR-3059-3p",0
"563","hsa-miR-3059-5p",0
"564","hsa-miR-3064-3p",0
"565","hsa-miR-3064-5p",0
"566","hsa-miR-3065-3p",13
"567","hsa-miR-3065-5p",13
"568","hsa-miR-3074-3p",0
"569","hsa-miR-3074-5p",0
"570","hsa-miR-3085-3p",0
"571","hsa-miR-3085-5p",0
"572","hsa-miR-30a-3p",442
"573","hsa-miR-30a-5p",13180
"574","hsa-miR-30b-3p",9
"575","hsa-miR-30b-5p",818
"576","hsa-miR-30c-1-3p",60
"577","hsa-miR-30c-2-3p",91
"578","hsa-miR-30c-5p",2392
"579","hsa-miR-30d-3p",122
"580","hsa-miR-30d-5p",7109
"581","hsa-miR-30e-3p",236
"582","hsa-miR-30e-5p",5130
"583","hsa-miR-31-3p",20
"584","hsa-miR-31-5p",14670
"585","hsa-miR-3115",0
"586","hsa-miR-3116",2
"587","hsa-miR-3117-3p",1
"588","hsa-miR-3117-5p",0
"589","hsa-miR-3118",0
"590","hsa-miR-3119",0
"591","hsa-miR-3120-3p",0
"592","hsa-miR-3120-5p",0
"593","hsa-miR-3121-3p",0
"594","hsa-miR-3121-5p",0
"595","hsa-miR-3122",0
"596","hsa-miR-3123",0
"597","hsa-miR-3124-3p",0
"598","hsa-miR-3124-5p",0
"599","hsa-miR-3125",0
"600","hsa-miR-3126-3p",0
"601","hsa-miR-3126-5p",6
"602","hsa-miR-3127-3p",0
"603","hsa-miR-3127-5p",1
"604","hsa-miR-3128",0
"605","hsa-miR-3129-3p",3
"606","hsa-miR-3129-5p",3
"607","hsa-miR-3130-3p",0
"608","hsa-miR-3130-5p",4
"609","hsa-miR-3131",0
"610","hsa-miR-3132",0
"611","hsa-miR-3133",1
"612","hsa-miR-3134",0
"613","hsa-miR-3135a",0
"614","hsa-miR-3135b",0
"615","hsa-miR-3136-3p",0
"616","hsa-miR-3136-5p",1
"617","hsa-miR-3137",0
"618","hsa-miR-3138",2
"619","hsa-miR-3139",0
"620","hsa-miR-3140-3p",1
"621","hsa-miR-3140-5p",0
"622","hsa-miR-3141",0
"623","hsa-miR-3142",0
"624","hsa-miR-3143",3
"625","hsa-miR-3144-3p",0
"626","hsa-miR-3144-5p",0
"627","hsa-miR-3145-3p",0
"628","hsa-miR-3145-5p",0
"629","hsa-miR-3146",1
"630","hsa-miR-3147",0
"631","hsa-miR-3148",0
"632","hsa-miR-3149",0
"633","hsa-miR-3150a-3p",0
"634","hsa-miR-3150a-5p",1
"635","hsa-miR-3150b-3p",0
"636","hsa-miR-3150b-5p",0
"637","hsa-miR-3151-3p",0
"638","hsa-miR-3151-5p",0
"639","hsa-miR-3152-3p",0
"640","hsa-miR-3152-5p",0
"641","hsa-miR-3153",0
"642","hsa-miR-3154",0
"643","hsa-miR-3155a",1
"644","hsa-miR-3155b",0.5
"645","hsa-miR-3156-3p",0
"646","hsa-miR-3156-5p",0
"647","hsa-miR-3157-3p",2
"648","hsa-miR-3157-5p",0
"649","hsa-miR-3158-3p",9
"650","hsa-miR-3158-5p",0
"651","hsa-miR-3159",2
"652","hsa-miR-3160-3p",0
"653","hsa-miR-3160-5p",0
"654","hsa-miR-3161",0
"655","hsa-miR-3162-3p",0
"656","hsa-miR-3162-5p",0
"657","hsa-miR-3163",0
"658","hsa-miR-3164",0
"659","hsa-miR-3165",0
"660","hsa-miR-3166",3
"661","hsa-miR-3167",0
"662","hsa-miR-3168",0
"663","hsa-miR-3169",0
"664","hsa-miR-3170",0
"665","hsa-miR-3171",0
"666","hsa-miR-3173-3p",1
"667","hsa-miR-3173-5p",3
"668","hsa-miR-3174",0
"669","hsa-miR-3175",0
